,I1,I2,V1,V2,a1,a2,b1,b2,gammaTuple,harmonic,power,Pin,Pout,Gain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,x
0,1.3059e-10,0.036118,-0.3,3.0,(0.070879+5.2789e-09j),(1.6538e-08+3.0618e-08j),(-0.031355-0.049415j),(-0.070526+0.23576j),"(1,)",1,1,-0.9722108167675071,14.811321638122292,15.7835324548898,-3.9177e-11,0.10835399999999999,27.206120625449344,27.94391267327408,(9.994172839779007e-08-1.0004449583043154e-07j),9.994172839779007e-08,-1.0004449583043154e-07
1,,,,,(2.7938e-10-1.193e-11j),(9.4002e-10-4.7076e-10j),(0.0014568+0.0013364j),(0.0070532+0.00235j),"(1,)",2,1,-27.09049748213415,-15.585395076979795,11.505102405154357,,,,,(9.994300791428712e-08-1.0004339428891494e-07j),9.994300791428712e-08,-1.0004339428891494e-07
2,,,,,(9.5895e-12+7.2116e-11j),(7.613e-11+2.3866e-10j),(-0.00031281+0.00040789j),(-0.00081349+0.0015736j),"(1,)",3,1,-38.79057160426055,-28.04379417484,10.746777429420554,,,,,(9.994457850366947e-08-1.0004697201763476e-07j),9.994457850366947e-08,-1.0004697201763476e-07
3,9.1593e-10,0.036861,-0.3,3.0,(0.079527+5.822e-09j),(1.8155e-08+3.3985e-08j),(-0.034647-0.055967j),(-0.079287+0.26068j),"(1,)",1,2,-0.017790279123273217,15.696108384730564,15.713898663853838,-2.74779e-10,0.11058299999999999,32.667167077217336,33.56776844948976,(9.99421506801004e-08-1.0004263196629246e-07j),9.99421506801004e-08,-1.0004263196629246e-07
4,,,,,(3.4238e-10-3.9746e-12j),(1.17e-09-5.3905e-10j),(0.0017308+0.0016948j),(0.0085443+0.0031594j),"(1,)",2,2,-25.32538730007336,-13.820206065218496,11.505181234854865,,,,,(9.994058511967621e-08-1.0004357110905575e-07j),9.994058511967621e-08,-1.0004357110905575e-07
5,,,,,(2.0572e-11+1.1746e-10j),(1.4128e-10+3.861e-10j),(-0.00048483+0.00069041j),(-0.0012255+0.0026365j),"(1,)",3,2,-34.48717105184398,-23.740200257965014,10.746970793878962,,,,,(9.994271371081154e-08-1.0004164447282365e-07j),9.994271371081154e-08,-1.0004164447282365e-07
6,4.9211e-09,0.037689,-0.3,3.0,(0.089231+6.3331e-09j),(1.9637e-08+3.7452e-08j),(-0.037893-0.063752j),(-0.089226+0.28542j),"(1,)",1,3,0.9025353850315644,16.50433107775179,15.601795692720227,-1.47633e-09,0.113067,38.45679157844383,39.54551525909337,(9.994222398463509e-08-1.0004360198042552e-07j),9.994222398463509e-08,-1.0004360198042552e-07
7,,,,,(4.0587e-10+1.9592e-11j),(1.4216e-09-5.5742e-10j),(0.0019316+0.0021245j),(0.0098934+0.004326j),"(1,)",2,3,-23.84861521876924,-12.343551363159344,11.505063855609896,,,,,(9.994591955424158e-08-1.0004508540963158e-07j),9.994591955424158e-08,-1.0004508540963158e-07
8,,,,,(4.1358e-11+2.0236e-10j),(2.6398e-10+6.6135e-10j),(-0.00080471+0.0012196j),(-0.0019893+0.004626j),"(1,)",3,3,-29.716357078212837,-18.969288624748913,10.747068453463928,,,,,(9.994284212990508e-08-1.0004243317099442e-07j),9.994284212990508e-08,-1.0004243317099442e-07
9,1.5696e-08,0.038617,-0.3,3.0,(0.10012+6.7728e-09j),(2.0766e-08+4.0791e-08j),(-0.040741-0.073179j),(-0.10029+0.30775j),"(1,)",1,4,1.773949744962466,17.19199265431962,15.418042909357155,-4.7088e-09,0.115851,43.91810485968955,45.2167640331106,(9.99426681658984e-08-1.0004630443658147e-07j),9.99426681658984e-08,-1.0004630443658147e-07
