,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Gs,Gin,Pdel,Pin,Pout,Gain,PGain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,jx
0,"(1,)",1,1,(0.070879+5.2789e-09j),(-0.031355-0.049415j),(1.6538e-08+3.0618e-08j),(-0.070526+0.23576j),-0.3,1.3059e-10,3.0,0.036118,0,(-0.4423736745765595-0.6971740242491234j),-30.972210816767507,-25.999948323514058,-15.188678361877708,10.811269961636347,15.7835324548898,-3.9177e-11,0.10835399999999999,25.62566293583936,27.94391267327408,(9.994172839779007e-08-1.0004449583043154e-07j),9.994172839779007e-08,-1.0004449583043154e-07
1,"(1,)",1,2,(2.7938e-10-1.193e-11j),(0.0014568+0.0013364j),(9.4002e-10-4.7076e-10j),(0.0070532+0.00235j),,,,,0,(5001022.891221197+4997001.228048782j),-57.090497482134154,-194.07848183041864,-45.58539507697979,148.49308675343883,11.505102405154357,,,,,(9.994300791428712e-08-1.0004339428891494e-07j),9.994300791428712e-08,-1.0004339428891494e-07
2,"(1,)",1,3,(9.5895e-12+7.2116e-11j),(-0.00031281+0.00040789j),(7.613e-11+2.3866e-10j),(-0.00081349+0.0015736j),,,,,0,(4990992.064023186+5001263.497669732j),-68.79057160426055,-205.77354689690344,-58.04379417484,147.72975272206344,10.746777429420554,,,,,(9.994457850366947e-08-1.0004697201763476e-07j),9.994457850366947e-08,-1.0004697201763476e-07
3,"(1,)",2,1,(0.079527+5.822e-09j),(-0.034647-0.055967j),(1.8155e-08+3.3985e-08j),(-0.079287+0.26068j),-0.3,9.1593e-10,3.0,0.036861,0,(-0.4356634111336158-0.7037483805948623j),-30.017790279123275,-25.000007959544877,-14.303891615269436,10.696116344275444,15.713898663853838,-2.74779e-10,0.11058299999999999,30.708131919010384,33.56776844948976,(9.99421506801004e-08-1.0004263196629246e-07j),9.99421506801004e-08,-1.0004263196629246e-07
4,"(1,)",2,2,(3.4238e-10-3.9746e-12j),(0.0017308+0.0016948j),(1.17e-09-5.3905e-10j),(0.0085443+0.0031594j),,,,,0,(4997064.502632607+5008065.110614415j),-55.32538730007336,-192.3195469766763,-43.82020606521849,148.49934091145778,11.505181234854865,,,,,(9.994058511967621e-08-1.0004357110905575e-07j),9.994058511967621e-08,-1.0004357110905575e-07
5,"(1,)",2,3,(2.0572e-11+1.1746e-10j),(-0.00048483+0.00069041j),(1.4128e-10+3.861e-10j),(-0.0012255+0.0026365j),,,,,0,(5001500.832051693+5003583.135679955j),-64.48717105184399,-201.4812860394576,-53.740200257965014,147.74108578149256,10.746970793878962,,,,,(9.994271371081154e-08-1.0004164447282365e-07j),9.994271371081154e-08,-1.0004164447282365e-07
6,"(1,)",3,1,(0.089231+6.3331e-09j),(-0.037893-0.063752j),(1.9637e-08+3.7452e-08j),(-0.089226+0.28542j),-0.3,4.9211e-09,3.0,0.037689,0,(-0.42466188347937195-0.7144601910835229j),-29.097464614968438,-23.99998475475952,-13.49566892224821,10.504315832511308,15.601795692720227,-1.47633e-09,0.113067,36.024518256873435,39.54551525909337,(9.994222398463509e-08-1.0004360198042552e-07j),9.994222398463509e-08,-1.0004360198042552e-07
7,"(1,)",3,2,(4.0587e-10+1.9592e-11j),(0.0019316+0.0021245j),(1.4216e-09-5.5742e-10j),(0.0098934+0.004326j),,,,,0,(5000182.777502524+4993067.777916995j),-53.84861521876924,-190.83245299124434,-42.34355136315934,148.488901628085,11.505063855609896,,,,,(9.994591955424158e-08-1.0004508540963158e-07j),9.994591955424158e-08,-1.0004508540963158e-07
8,"(1,)",3,3,(4.1358e-11+2.0236e-10j),(-0.00080471+0.0012196j),(2.6398e-10+6.6135e-10j),(-0.0019893+0.004626j),,,,,0,(5005081.826694342+4999556.108857603j),-59.716357078212845,-196.7100859721363,-48.96928862474891,147.7407973473874,10.747068453463928,,,,,(9.994284212990508e-08-1.0004243317099442e-07j),9.994284212990508e-08,-1.0004243317099442e-07
9,"(1,)",4,1,(0.10012+6.7728e-09j),(-0.040741-0.073179j),(2.0766e-08+4.0791e-08j),(-0.10029+0.30775j),-0.3,1.5696e-08,3.0,0.038617,0,(-0.40692174341117393-0.730912876987619j),-28.226050255037535,-22.99988313791608,-12.80800734568038,10.191875792235699,15.418042909357155,-4.7088e-09,0.115851,40.89051117383444,45.2167640331106,(9.99426681658984e-08-1.0004630443658147e-07j),9.99426681658984e-08,-1.0004630443658147e-07
10,"(1,)",4,2,(4.6254e-10+5.8608e-11j),(0.0020197+0.0026065j),(1.6778e-09-5.0986e-10j),(0.010936+0.0058455j),,,,,0,(5000290.0184780015+5001606.353173869j),-52.646793957792866,-189.63814108770202,-41.141697740180874,148.4964433475211,11.505096217611994,,,,,(9.994431501840869e-08-1.0004430261888334e-07j),9.994431501840869e-08,-1.0004430261888334e-07
11,"(1,)",4,3,(6.867e-11+3.5653e-10j),(-0.0014405+0.0021251j),(4.4931e-10+1.1677e-09j),(-0.0035963+0.0080837j),,,,,0,(4996940.882823982+5002776.569779606j),-54.82072736648376,-191.81018346791012,-44.07381512268161,147.7363683452285,10.74691224380215,,,,,(9.994283309854953e-08-1.0004507968780557e-07j),9.994283309854953e-08,-1.0004507968780557e-07
12,"(1,)",5,1,(0.11233+7.067e-09j),(-0.042906-0.084504j),(2.1449e-08+4.3813e-08j),(-0.11199+0.32627j),-0.3,3.5118e-08,3.0,0.039702,0,(-0.38196390382254936-0.7522834265170576j),-27.403848550604867,-22.000384778962694,-12.255053955386435,9.745330823576255,15.14879459521843,-1.0535399999999998e-08,0.119106,44.655955241548526,49.95292974325291,(9.994459126479564e-08-1.0004534519184868e-07j),9.994459126479564e-08,-1.0004534519184868e-07
13,"(1,)",5,2,(5.1002e-10+1.0571e-10j),(0.0020182+0.0030781j),(1.9118e-09-4.1974e-10j),(0.011655+0.0074666j),,,,,0,(4993487.873087616+5000271.355899588j),-51.69160229995073,-188.6758819872531,-40.1865910641481,148.48929092310496,11.505011235802634,,,,,(9.994302526767385e-08-1.0004072007409812e-07j),9.994302526767385e-08,-1.0004072007409812e-07
14,"(1,)",5,3,(7.8348e-11+5.8921e-10j),(-0.0025547+0.0033404j),(6.2545e-10+1.9517e-09j),(-0.0066384+0.012883j),,,,,0,(5004266.213495876+5001229.187038534j),-50.534307209170386,-187.52877958585512,-39.787278959810514,147.7415006260446,10.747028249359868,,,,,(9.994172284583201e-08-1.000468161872057e-07j),9.994172284583201e-08,-1.000468161872057e-07
